#Selection name: Selection 5
#Area (µm^2): 1389450.20
Cell ID,Cluster,Transcripts,Area (µm^2)
mijbnlgp-1,Cluster 2,0,29.44
mmhldbod-1,Cluster 9,1,209.93
mmhlekdk-1,Cluster 9,0,182.25
mmhkaiek-1,Cluster 9,0,139.35
mlpcgmpc-1,Cluster 7,0,45.52
miinionj-1,Cluster 1,4,94.60
mlooffek-1,Cluster 21,0,97.31
mmhlachp-1,Cluster 1,0,99.98
mmhkeeij-1,Cluster 8,0,94.42
mmhooodm-1,Cluster 9,0,92.25
mmhocfog-1,Cluster 9,0,177.33
mlpbhbpk-1,Cluster 7,2,67.55
obebgmeo-1,Cluster 9,0,166.58
mlonjibk-1,Cluster 6,0,33.96
mlpaoebb-1,Cluster 7,2,66.97
oigpicog-1,Cluster 8,0,16.71
mlophnfn-1,Cluster 8,0,56.17
mlpbcifg-1,Cluster 31,0,114.11
mlpannal-1,Cluster 6,0,55.99
miaflehh-1,Cluster 13,6,70.49
oigdamll-1,Cluster 9,0,10.57
mmhmpiej-1,Cluster 9,0,103.95
mkobnbic-1,Cluster 13,4,73.06
mknjfnke-1,Cluster 9,4,158.14
mkodgcpm-1,Cluster 2,0,34.82
oigmbkpm-1,Cluster 1,0,18.24
mkjffclf-1,Cluster 13,4,95.64
obdbaplc-1,Cluster 13,1,52.83
bahcohcj-1,Cluster 13,13,124.36
mkjghhhm-1,Cluster 13,11,150.69
mkoffoog-1,Cluster 13,11,128.47
bagolfaf-1,Cluster 13,13,154.16
oigcmbnj-1,Cluster 13,0,24.02
bagobaln-1,Cluster 9,3,144.05
mkjiolfn-1,Cluster 13,8,126.80
mmggbnje-1,Cluster 13,8,135.69
bagojbln-1,Cluster 9,0,226.77
mkjflden-1,Cluster 19,1,59.43
bagpbahn-1,Cluster 22,0,212.78
bahddiml-1,Cluster 13,11,163.24
mkocajha-1,Cluster 9,3,183.11
mhhnfjgc-1,Cluster 2,0,21.95
mkobpelo-1,Cluster 13,9,126.48
mkjfffpc-1,Cluster 19,2,45.16
mmeoalcp-1,Cluster 9,1,174.75
mkjjfbgc-1,Cluster 31,0,159.27
obbhdgma-1,Cluster 9,0,110.54
obbacmlg-1,Cluster 9,2,22.44
obaokdpb-1,Cluster 19,0,57.48
mkjiocoe-1,Cluster 13,5,97.85
mkjicjfj-1,Cluster 13,8,122.64
bagolaeb-1,Cluster 13,12,142.78
apflfbgp-1,Cluster 13,13,147.89
mkocbccm-1,Cluster 19,0,17.43
bahakldk-1,Cluster 13,17,157.87
bagoplnh-1,Cluster 13,10,444.92
bagnlfai-1,Cluster 9,8,193.18
mknijefg-1,Cluster 13,4,107.02
mkoebhme-1,Cluster 2,0,11.06
bahdmkic-1,Cluster 22,0,127.39
miagddpb-1,Cluster 13,21,193.45
mknimpnc-1,Cluster 8,2,51.25
mkjjkbbh-1,Cluster 2,0,22.35
miagkpnf-1,Cluster 8,0,35.27
ogoodedo-1,Cluster 2,0,6.59
mkoebfak-1,Cluster 13,8,105.26
apfcmmfi-1,Cluster 13,12,153.31
mkjhelhj-1,Cluster 13,4,112.66
